ID,CCAA,latd,longd
935,Andalucía,37.4356699135136,-5.68277303031
936,Aragón,41.6203648018733,-1.06449678144
951,Asturias,43.2923578609463,-5.99350932543157
947,Baleares,39.4310008883112,2.68405401705913
948,Canarias,28.3125568947401,-17.0178525871176
937,Cantabria,43.1975220484147,-4.03002122038164
939,Castilla La Mancha,38.9256128254226,-3.82809764893
938,Castilla y León,41.6341260694902,-4.8471914114
940,Cataluña,41.7310008883112,1.98405401705913
941,Ceuta y Melilla,35.8934069862795,-5.3434240389
944,C. Valenciana,39.37025623752,-0.800789615081
945,Extremadura,38.7097707379558,-6.1415852197805
946,Galicia,43.1257958208505,-8.46428368476664
942,Madrid,40.4950873743802,-3.71704619215206
952,Murcia,38.0023681652549,-1.485756293315
943,Navarra,42.6672011509227,-1.646114144425
950,País Vasco,43.2376797056781,-2.19417845709426
949,La Rioja,42.2748706958324,-2.5170441193
